date,level,appr,R,tod,win50_20,win100_30,lv,conf,pen,press30,flow30,dvel15,flow3,res3,big3,vol3_rel,dtouch,fav60,fav90,thr60,held50,held100,broke20
2025-04-02,PDEQ,below,-1,6,0,0,19452.625,0,22.625,-101.25,-147,234,-683,-70.0,-222,2.635946388307065,-347,-12.875,-12.875,177.375,0,0,1
2025-04-02,PDH,below,-1,110,0,0,19644.0,1,6.25,-38.0,-531,162,-890,-53.5,-160,1.4867773116906804,-702,32.5,32.5,99.25,0,0,1
2025-04-02,PMH,below,-1,16,1,0,19565.25,0,4.0,-199.0,-1314,-1857,-746,-57.75,-55,1.1756674212209408,-73,74.0,74.0,64.75,1,0,1
2025-04-02,PML,above,1,1,1,1,19319.5,1,3.0,-12.75,-797,-589,-467,21.75,-70,4.700115340253749,-27,301.25,320.25,0.0,1,1,0
2025-04-03,ASIAL,above,1,41,1,0,18879.75,0,1.75,-124.0,-1209,-1294,-251,-25.75,-70,0.7994379743901733,-69,81.25,81.25,159.75,1,0,1
2025-04-03,ONL,above,1,75,0,0,18819.0,1,4.25,-107.5,139,-12,-262,-20.75,-93,1.0483395559048931,-393,115.75,138.25,99.0,1,1,1
2025-04-03,PML,above,1,75,0,0,18830.25,1,15.5,-107.5,139,-12,-262,-20.75,-93,1.0483395559048931,-393,104.5,127.0,110.25,1,1,1
2025-04-04,LDNL,above,1,75,0,0,17820.75,2,4.0,-151.25,-410,278,-104,-59.25,-189,0.9820933017848276,-220,327.25,327.25,164.75,1,1,1
2025-04-04,ONL,above,1,75,0,0,17820.75,2,4.0,-151.25,-410,278,-104,-59.25,-189,0.9820933017848276,-220,327.25,327.25,164.75,1,1,1
2025-04-04,PML,above,1,75,0,0,17820.75,2,4.0,-151.25,-410,278,-104,-59.25,-189,0.9820933017848276,-220,327.25,327.25,164.75,1,1,1
2025-04-07,ASIAH,below,-1,21,0,0,17025.25,0,2.75,39.25,1217,-480,110,-61.0,130,0.9770181019175004,165,47.5,47.5,1336.25,0,0,1
2025-04-07,LDNH,below,-1,29,0,0,17278.0,2,18.25,-345.5,-243,-1335,-59,-108.25,-52,0.9390122911224045,47,115.0,128.25,1083.5,1,1,1
2025-04-07,ONH,below,-1,29,0,0,17278.0,2,18.25,-345.5,-243,-1335,-59,-108.25,-52,0.9390122911224045,47,115.0,128.25,1083.5,1,1,1
2025-04-07,PDC,below,-1,40,0,0,17534.75,1,22.25,-777.75,-2819,-624,-1447,-322.25,-317,0.9561720176245315,-1355,371.75,385.0,826.75,1,1,1
2025-04-07,PDEQ,below,-1,43,0,0,17888.625,0,213.875,-1370.25,-3005,-1778,-73,-534.25,-253,1.9238296539846564,-3,725.625,738.875,472.875,1,1,1
2025-04-07,PDH,below,-1,46,0,0,18248.75,0,19.75,-1436.0,-2036,-1101,753,-171.5,-170,1.4886032418377404,77,1099.0,1099.0,112.75,1,1,1
2025-04-07,PDL,below,-1,40,0,0,17528.5,1,28.5,-777.75,-2819,-624,-1447,-322.25,-317,0.9561720176245315,-1355,365.5,378.75,833.0,1,1,1
